ARF5
M6PR
ESRRA
FKBP4
CYP26B1
NDUFAF7
FUCA2
HS3ST1
SEMA3F
CFTR
CYP51A1
USP28
TMEM176A
SLC7A2
-
HSPB6
PDK4
CCL26
USH1C
RALA
BAIAP2L1
CACNG3
TMEM132A
DVL2
RPAP3
IFRD1
SKAP2
-
PRSS21
HOXA11
CX3CL1
-
TRAPPC6A
WDR54
SPATA20
CEACAM7
RHBDD2
RPUSD1
TSR3
OSBPL7
NDUFAB1
YBX2
ITGA3
KRT33A
LRRC23
TFAP2D
CRY1
PGLYRP1
STARD3NL
CAMK1G
CD9
CD74
DYRK4
FAM76A
MGST1
CPA1
SYPL1
RANBP9
CD4
PLEKHG6
SS18L2
TSPAN9
QPCTL
HIVEP2
PPP5C
NME1
UBR7
MAP4K5
INMT
ERCC1
GPRC5A
HEBP1
DNASE1L1
COX15
MS4A12
RGPD5
XYLT2
SCTR
RALBP1
PSD
SYT13
SNAI2
SLC7A9
GABRA1
RTFDC1
SLC45A4
RB1CC1
AKAP11
PIGQ
CDH17
B4GALT7
FAM13B
 CHPF2
LRRC7
GABARAPL2
MYOC
FAM136A
OTC
TTC17
HOXC8
MRI1
BOD1L1
TARBP1
BEST2
RTN4R
PSMA4
RIPOR3
ZPBP
LCP2
DCN
TNFRSF17
MRPS10
GUCA1A
GRN
THAP3
VAMP3
UTS2
RCN1
RFC2
PPP1R3F
KIAA2022
ARHGEF5
NFE2L3
TNIP3
-
TLL1
NNAT
CBLN4
 CLDN11
RELT
PKP2
FHL1
YIPF1
ADCK2
INPP4A
SLC2A3
STYK1
GNA11
CREB3L3
PIGV
HDAC7
MRPS35
APPBP2
CA11
ISOC2
 CD22
GSC2
ZFY
KCNQ1
TRPM5
TRIB2
OTUD5
GPKOW
AQR
KLK14
ST6GALNAC1
MBD3
LMCD1
PSMC4
FNDC8
CAMKK1
ACAP1
DERL2
NOX3
ANO8
KDM4B
ICAM3
CTTNBP2
ACTL6B
CIC
KIF22
PRSS22
CEACAM1
YTHDC2
-
TMEM161A
FOXJ2
TNFRSF1A
GOLGA5
MIR4793
PPP2R5B
PYGM
 BCL3
PIGB
PDZD4
PRLH
FSTL3
EPHA8
TRIP13
P4HA2
VASH1
KRT14
KRT20
SPP2
HSD17B10
FGF4
NMRK2
ST6GAL1
TIMM21
BPIFB2
MIR1909
MKRN2
GPATCH1
IL4R
KEAP1
-
P2RY10
TNS1
NGFR
NTN1
ISOC1
TRO
MNT
AP3M2
LAPTM4A
ADAM7
ASNS
PTPN18
DRD4
SCT
STK10
ALPK1
TBX21
CA12
MAP2K5
TIGAR
FGF20
MTMR7
CPB2
FAM107B
CDK13
-
TSPAN32
FAR2
TRAM2
CLDN18
ROPN1
NDUFB4
HEATR6
ERLEC1
CLIC5
TMEM131
ARPP21
TMEM38A
ACTR6
FAP
DMRT3
WISP2
GAL3ST2
UHRF1BP1
OSTM1
IMPG2
KIAA0141
SLC13A1
PCDHB4
PCDHB2
HSPB11
STRADB
-
DOPEY1
PLOD1
OXCT1
ZNF324
ZNF416
-
RPS5
FAM234B
PILRA
-
RRN3
MOGAT2
AQP2
DIMT1
EIF2AK1
NME8
MRPL28
HBQ1
CEACAM6
RBM22
HSD17B2
ZW10
ITGB4
PPP1R15A
TRIP6
ADAM11
SLC22A4
CETP
MT3
TFAP2C
SULT2B1
EPS8L1
REM1
PDRG1
PPP1R13B
TGM6
RALGAPA2
RPL6
-
ESF1
SLC8B1
SIRT4
TRMT6
UQCRC1
GMIP
LAG3
MLF2
OTUB2
TFAP4
PDCD7
SPG21
CHRD
THPO
GNPTG
GOLGA3
EFNB1
GLG1
DLL3
NAT14
AASDH
LAMB4
DLD
LOC105369239
CMTM6
MYO15A
APOH
SPAG7
ESR1
RGS17
TMEM101
CCDC80
HAUS4
CEBPE
OSGEP
SLC22A17
G2E3
TGM1
TBX15
-
TEKT2
UNC13D
XYLB
OR1I1
ADH1A
KRT23
CDC6
AAAS
MIR3198-2
KLHL20
FMO2
DHPS
RAB26
PSMD5
NANS
SEMA4G
TPSD1
GSTA3
MAPK13
TMEM14A
PRRT1
ZNF184
VCL
SIRT1
TGFBR3
TMED1
MZF1
OCEL1
PSMD8
STX1B
BCL7C
EFNA2
ATP5D
CBARP
AMELY
FGF22
SMIM24
2017/3/2 星期四
NDUFB7
TECR
TIMM13
CDC34
MISP
POLR2E
-
GADD45B
MADCAM1
MAPK12
SERPIND1
SNAP29
LZTR1
THAP7
MMP11
MIF
DDTL
DDT
-
OSM
SF3A1
USP18
SEC14L3
SNRPD3
MAPK1
TCN2
CRYBB3
MORC2
SLC25A1
PLA2G3
LGALS2
PDXP
ASPHD2
LGALS1
PIK3IP1
SRRD
CRYBB1
ANKRD54
SNU13
MICALL1
CENPM
DMC1
HSCB
CBY1
TOMM22
RSPH14
XBP1
RTCB
JOSD1
GTPBP1
DNAL4
C22orf31
MIOX
RHBDD3
APOBEC3D
RASL10A
HMGXB4
BIK
HMOX1
NIPSNAP1
MCM5
ARSA
RASD2
TTLL12
CBX7
ACR
CABP7
TAB1
PNPLA5
PNPLA3
MYH9
TXN2
FOXRED2
EIF3D
ADSL
PVALB
UPK3A
FAM118A
ST13
IL2RB
RBX1
L3MBTL2
CHADL
PHF5A
ACO2
PMM1
CERK
BRD1
ZBED4
HDAC10
RIPK3
PAPOLA
NID2
SNAPC1
SUPT16H
FKBP3
CTSG
GZMH
GZMB
COCH
AP4S1
POLE2
SOS2
PYGL
GNPNAT1
CNIH1
CGRRF1
ATP6V1D
C14orf105
PLEK2
PIGH
PSMA3
GSTZ1
TMED8
SAMD15
AHSA1
SPTLC2
RIN3
ALKBH1
CHGA
DHRS7
SIX4
SLC10A1
EIF5
ZFYVE21
BDKRB1
VRK1
APEX1
PABPN1
EFS
SRP54
-
PCK2
NFKBIA
EMC9
MIR7703
BRMS1L
PNN
RABGGTA
CYP24A1
AURKA
ZFP64
GSS
PYGB
PROCR
MYBL2
R3HDML
PABPC1L
SALL4
CSTF1
TPD52L2
-
CTSZ
TUBB1
SLCO4A1
BIRC7
UBOX5
EEF1A2
PTK6
SRMS
C20orf27
TRIB3
CSNK2A1
MACROD2
SLC52A3
RSPO4
PROKR2
FERMT1
-
PDYN
TLDC2
CDK5RAP1
SNTA1
OXT
CHMP4B
LBP
SLC32A1
CST4
AHCY
SPINT3
FAM83D
PIGU
ACOT8
APMAP
TXNL1
MYL12A
RNF125
TAF9
IDH3G
SLC25A43
MXRA5
PSMD10
STS
TBL1X
PGRMC1
RHOXF1
NXT2
GUCY2F
ATP1B4
TLR8
WDR13
GLRA2
STAG2
F9
ABCD1
BCORL1
KCND1
SLC25A14
PQBP1
PCSK1N
RAB40AL
GPR50
RP2
-
USP11
HTATSF1
TIMP1
ITIH6
MAGED2
GLA
ATP12A
NDFIP2
MLNR
ACP5
SGCG
SUPT20H
OLFM4
ACSM2A
NTHL1
ZNF263
MMP2
ZNF205
ORC6
C16orf70
CORO1A
MT4
LYRM1
NUTF2
-
CBLN1
ARL2BP
PLLP
CCL22
DHODH
CCL17
POLR2C
PARD6A
MMP15
USB1
CCDC113
PRSS54
NME3
PSMD7
SETD6
SLC38A7
SMPD3
SLC7A6
PLA2G15
FA2H
CMC2
PDIA2
ARHGDIG
MPG
HSDL1
WFDC1
USP10
TSC2
ZNF500
NME4
DECR2
STUB1
RHBDL1
-
MEFV
CRYM
CAPN15
AQP8
USP31
HMOX2
TOX3
MAZ
CDIPT
BCKDK
SLC6A2
KNOP1
MGA
AQP9
CSK
MTFMT
RASL12
CTSH
CEMIP
EHD4
TGM5
GABPB1
SCG3
DNAJC17
RHOV
VPS18
OIP5
BLOC1S6
EXTL3
FDFT1
AGO2
PAG1
TG
BRF2
ZFAND1
RP1
RIPK2
CPQ
DECR1
SFRP1
PLAT
DKK4
GDAP1
EIF3E
EMC2
CHRAC1
NCALD
GML
PYCRL
MTMR9
DCTN6
GSR
TNFRSF10A
PPP2CB
NEFM
-
KCTD9
-
CNOT3
EXOSC5
PAF1
STXBP2
CYP4F3
ZNF432
ZNF180
-
TULP2
DHDH
ECH1
HNRNPL
LHB
KCNA7
RELB
CLASRP
LIN7B
PPP1R37
FCGRT
CKM
PEX11G
SLC17A7
RNASEH2A
SF3A2
AMH
DKKL1
RETN
RSPH6A
TBC1D17
CCDC130
AES
SGTA
SNAPC2
FIZ1
C19orf44
CYP4F2
-
EPHX3
-
SLC1A6
LGALS13
FBL
CLC
EBI3
TBCB
FSD1
POLR2I
APLP1
CCDC9
TGFB1
CEACAM4
PLIN3
CD79A
LIM2
NKG7
ICAM5
CEACAM5
CRX
SULT2A1
CDC37
RABAC1
CNFN
ZNRF4
HAS1
RAB3D
DBP
CAPS
EPOR
RASIP1
FGF21
CACNG7
GCDH
DNASE2
LENG1
RPL18A
SLC5A5
ARRDC2
PIK3R2
RAB3A
PSENEN
-
COMP
UPK1A
TMEM147
GAPDHS
HAMP
USF2
KXD1
FKBP8
ERF
GSK3A
SIPA1L3
CADM4
PON1
CYP3A43
ABCF2
HGF
LAMB1
UBE2D4
WNT16
CPA2
CPA4
LOC101927446
TFPI2
BET1
NAMPT
TWISTNB
PON2
ITGB8
HBP1
SP4
DLX5
MPP6
OGDH
NPVF
CAV2
HOXA2
LFNG
HOXA5
HOXA6
TSPAN12
HOXA13
LOC101928168
ABHD11
FKBP14
STX1A
NOD1
CCL24
PDAP1
BUD31
CYP3A5
MIR6836
WASL
HYAL4
AIMP2
TFR2
MOSPD3
PCOLCE
RBM28
SERPINE1
MOGAT3
C1GALT1
PLOD3
RPA3
FIS1
GLCCI1
MYL10
NRF1
CEP41
ZNF862
MEST
RARRES2
YAE1D1
GIMAP2
PSMA2
MRPL32
COA1
MIR4649
MYL7
GCK
BCL7B
YKT6
CLIP2
ZNF510
ZNF688
CHMP5
FKTN
SEC61B
C5
TNFSF8
RLN1
PLGRKT
EDF1
SETX
C8G
VIM
BLNK
CYP26A1
-
-
ATE1
CCSER2
-
ACTA2
SFXN3
FBXL15
STN1
DNAJC12
PPIF
TBC1D12
-
MPO
ST6GALNAC2
DHX33
UTP18
P2RX5
EPX
CRYBA1
NUFIP2
-
-
-
-
-
RPL19
CSF3
SUPT4H1
LOC101929777
SHPK
TAX1BP3
P2RX1
KRT37
GOSR2
PNPO
TVP23C
RPS6KB1
CBX1
PIGL
GALK1
HOXB6
PFN1
SLC25A11
RASD1
C1QBP
CPD
GOSR1
CCDC47
MED31
DRG2
AKAP10
ALDH3A1
SYNGR2
DDX5
C17orf75
ASIC2
CCL2
CCL1
CCL13
PEX12
-
KRT32
KAT2A
NAGLU
ABI3
COL1A1
MRPL27
LRRC59
HDAC5
PPY
DUSP3
CACNG1
HLF
EFNB3
RANGRF
RCVRN
MYH1
-
VTN
TNFAIP1
TMEM97
FOXN1
ALDOC
CD38
IBSP
LAP3
CXCL6
JADE1
AFM
PHOX2B
GNRHR
CWH43
SULT1E1
SMR3A
PF4V1
NFKB1
MANBA
IL2
WFS1
GAR1
FRG1
AADAT
CLNK
FAM149A
SPA17
CD82
SPI1
CRYAB
-
CTSC
ZPR1
CRTAM
C11orf63
HSPA8
DTX4
UNC93B1
PUS3
ST3GAL4
CCND1
CCDC86
PRPF19
TMEM109
ANAPC15
PANX1
APOA5
APOC3
IL10RA
GALNT18
BIRC2
PDHX
SLC15A3
SCGB2A2
DGAT2
C11orf58
YBX3
KITLG
SART3
ZNF268
PXN
SLC25A3
POLR3B
CD69
PRDM4
CLEC2B
SELPLG
ASIC1
DAO
KCTD10
MLEC
MVK
CSRNP2
IL23A
SYT10
CYP27B1
MYF6
MYF5
GLI1
PPM1H
LTA4H
ELK3
ITFG2
PRR4
PARP11
ARPC3
FGF6
MYL2
RAD51AP1
AKAP3
DUSP16
CREBL2
CDKN1B
GPRC5D
LTBR
OAS3
ART4
MGP
ARHGDIB
RERGL
FZD10
IL26
IFNG
NUP107
CNOT2
KRR1
MRPL51
GAPDH
ACRBP
COPS7A
GNB3
CHPT1
USP5
TPI1
ENO2
C12orf57
APOBEC1
NANOG
GOLT1B
LDHB
PRKAB1
CMAS
HCFC2
CLEC4A
AICDA
RAB35
COX6A1
SRSF9
FGFR1OP2
KLRB1
GCLC
IYD
RSPH4A
TMEM14C
SMIM8
ADTRP
ASF1A
HINT3
ULBP1
SLC44A4
FBXO5
FANCE
TULP1
MAPK14
STK38
RAB44
HLA-DOA
MCM3
SAYSD1
CAP2
GPR63
FBXL4
-
GPLD1
ACOT13
RPS12
B3GAT2
GMNN
SNX3
-
ZBTB24
FIG4
UNC93A
C6orf118
MDFI
TFEB
BYSL
TBP
GUCA1B
PRPH2
PTK7
DNPH1
EXOC2
TMEM30A
LAMA4
